,Place,Username,XP
0,1st,Hidro,81553
1,2nd,Baker,78608
2,3rd,Gunservative,76188
3,4th,Mikey,51208
4,5th,Tanntrix,48921
5,6th,James,45085
6,7th,x2Pac ThuGLorD,42033
7,8th,Rules,41415
8,9th,Rallied,40078
9,10th,Olly,39282
10,11th,TKhan,38242
11,12th,MuTeX,35247
12,13th,stridox,34909
13,14th,Innocent,34897
14,15th,ihavok,34771
15,16th,TMTwerk,34125
16,17th,exoficial,34057
17,18th,iLLeY,33799
18,19th,C,33096
19,20th,UsernameChange12911,32795
20,21st,Monstrous,32637
21,22nd,TeddyRecKs,32238
22,23rd,Trichoblast,32165
23,24th,Saggio,31539
24,25th,iBuLieVe,31291
